game_type,player1,player2,winner,seed,game_time
othello,mctsstrategy5000(mobility_strategy_vs),mcts10000,2,22025001,11573.773015975952
othello,mctsstrategy2000(mobility_strategy_vs),mctsstrategy5000(mobility_strategy_vs),2,22025001,14096.837579011917
othello,mctsstrategy2000(mobility_strategy_vs),mctsstrategy10000(mobility_strategy),2,22025001,14735.855668783188
othello,mctsstrategy5000(mobility_strategy_vs),mctsstrategy1000(mobility_strategy),1,22025001,11488.153498888016
othello,mctsstrategy1000(mobility_strategy_vs),mctsstrategy10000(mobility_strategy_vs),2,22025001,21124.39612197876
othello,mctsstrategy5000(mobility_strategy_vs),mctsstrategy1000(mobility_strategy_vs),2,22025001,12679.749297142029
othello,mctsstrategy5000(mobility_strategy_vs),mctsstrategy2000(mobility_strategy),1,22025001,12436.928148031235
othello,mctsstrategy5000(mobility_strategy_vs),mctsstrategy2000(mobility_strategy_vs),1,22025001,13894.376068115234
othello,mctsstrategy2000(mobility_strategy_vs),mctsstrategy10000(mobility_strategy_vs),1,22025001,23422.442706346512
othello,mctsstrategy5000(mobility_strategy_vs),mctsstrategy5000(mobility_strategy),2,22025001,15082.211602926254
othello,mctsstrategy5000(mobility_strategy_vs),mctsstrategy5000(mobility_strategy_vs),2,22025001,18598.03870368004
othello,mctsstrategy5000(mobility_strategy_vs),mctsstrategy10000(mobility_strategy),1,22025001,19573.335833787918
othello,mctsstrategy10000(mobility_strategy_vs),mcts2000,2,22025001,19215.246892929077
othello,mctsstrategy10000(mobility_strategy_vs),mcts1000,1,22025001,20537.482429742813
othello,mctsstrategy10000(mobility_strategy_vs),mcts5000,2,22025001,20495.215599536896
othello,mctsstrategy10000(mobility_strategy_vs),mcts10000,1,22025001,21537.61815071106
othello,mctsstrategy10000(mobility_strategy_vs),mctsrave1000,1,22025001,19598.4995033741
othello,mctsstrategy10000(mobility_strategy_vs),mctsrave2000,1,22025001,19941.63630747795
othello,mctsstrategy1000(mobility_strategy),mcts1000,2,22025001,1232.7440416812897
othello,mctsstrategy1000(mobility_strategy),mcts2000,1,22025001,1388.7094357013702
othello,mctsstrategy1000(mobility_strategy),mcts5000,1,22025001,1848.2086317539215
othello,mctsstrategy5000(mobility_strategy_vs),mctsstrategy10000(mobility_strategy_vs),2,22025001,27711.88440966606
