game_type,player1,player2,winner,seed
othello,mcts1000,mctsstrategies1000(random_strategy:mobility_strategy),2,22021140
othello,random,mapbaseheuothello,2,22021125
othello,mctsstrategy1000(random_strategy),mcts1000,2,22021076
othello,mctsstrategies1000(random_strategy:mobility_strategy),greedy,1,22021108
othello,mcts1000,mctsrave1000,2,22021085
othello,mctsstrategies1000(random_strategy:mobility_strategy),mcts1000,2,22021070
othello,mapbaseheuothello,mcts1000,2,22021141
hex,mctsstrategies1000(random_strategy:mobility_strategy),mctsstrategies1000(random_strategy:mobility_strategy),2,22021167
othello,mapbaseheuothello,mctsrave1000,2,22021102
hex,mctsstrategy1000(random_strategy),mctsstrategies1000(random_strategy:mobility_strategy),2,22021099
othello,mctsstrategy1000(random_strategy),alphabeta3,2,22021093
hex,random,mctsstrategies1000(random_strategy:mobility_strategy),2,22021165
hex,mctsstrategy1000(random_strategy),random,1,22021147
hex,random,random,2,22021127
hex,random,mcts1000,2,22021113
othello,mctsstrategies1000(random_strategy:mobility_strategy),random,2,22021093
othello,greedy,mapbaseheuothello,2,22021140
hex,random,alphabeta3,1,22021160
othello,mctsstrategies1000(random_strategy:mobility_strategy),mctsrave1000,2,22021091
hex,mctsstrategy1000(random_strategy),mcts1000,2,22021081
hex,mcts1000,mcts1000,2,22021149
hex,mctsstrategy1000(random_strategy),mctsstrategy1000(random_strategy),2,22021074
othello,mctsstrategy1000(random_strategy),alphabeta3,2,22021124
othello,random,mctsrave1000,2,22021074
othello,mapbaseheuothello,mapbaseheuothello,2,22021127
othello,mctsstrategy1000(random_strategy),mctsstrategies1000(random_strategy:mobility_strategy),2,22021158
othello,mctsrave1000,alphabeta3,2,22021147
hex,mcts1000,mcts1000,2,22021167
hex,mcts1000,random,1,22021090
othello,mctsrave1000,mcts1000,2,22021105
othello,mcts1000,random,2,22021074
othello,mctsstrategies1000(random_strategy:mobility_strategy),alphabeta3,2,22021128
hex,mctsstrategy1000(random_strategy),mcts1000,1,22021089
hex,alphabeta3,mctsstrategies1000(random_strategy:mobility_strategy),1,22021154
othello,greedy,mctsstrategy1000(random_strategy),2,22021167
hex,mctsstrategies1000(random_strategy:mobility_strategy),mctsstrategies1000(random_strategy:mobility_strategy),2,22021138
othello,mapbaseheuothello,mctsrave1000,2,22021101
othello,mcts1000,mapbaseheuothello,2,22021141
othello,mctsstrategy1000(random_strategy),mctsstrategies1000(random_strategy:mobility_strategy),2,22021109
hex,mcts1000,random,2,22021111
othello,alphabeta3,mctsstrategy1000(random_strategy),2,22021138
hex,mctsstrategies1000(random_strategy:mobility_strategy),mctsstrategies1000(random_strategy:mobility_strategy),2,22021076
othello,mctsrave1000,mctsrave1000,2,22021120
othello,mctsstrategy1000(random_strategy),mctsstrategies1000(random_strategy:mobility_strategy),2,22021117
hex,mcts1000,mcts1000,1,22021084
othello,alphabeta3,mctsrave1000,2,22021134
hex,alphabeta3,mcts1000,2,22021161
othello,alphabeta3,mctsstrategies1000(random_strategy:mobility_strategy),2,22021076
hex,mctsstrategy1000(random_strategy),alphabeta3,1,22021138
hex,mctsstrategy1000(random_strategy),mctsstrategies1000(random_strategy:mobility_strategy),2,22021097
